platform,username,password,career_url,notes
linkedin,your_email@example.com,your_password,,Requires login
indeed,your_email@example.com,your_password,,Can scrape without login but login improves results
glassdoor,your_email@example.com,your_password,,Requires login
dice,,,,No login needed
ziprecruiter,your_email@example.com,your_password,,Optional login
handshake,your_psu_email@pdx.edu,your_password,,PSU student login
jobright,your_email@example.com,your_password,,
company_careers,,,https://www.synopsys.com/company/careers.html,No login
company_careers,,,https://careers.cadence.com,No login
company_careers,,,https://jobs.intel.com,No login
company_careers,,,https://www.amd.com/en/corporate/careers.html,No login
company_careers,,,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,No login
company_careers,,,https://jobs.arm.com,No login
company_careers,,,https://www.marvell.com/company/careers.html,No login
company_careers,,,https://www.broadcom.com/company/careers,No login
company_careers,,,https://www.qualcomm.com/company/careers,No login
company_careers,,,https://jobs.apple.com/en-us/search,No login
company_careers,,,https://www.micron.com/about/jobs,No login
company_careers,,,https://careers.skyworksinc.com,No login
company_careers,,,https://careers.microchip.com,No login
company_careers,,,https://www.ti.com/about-ti/careers.html,No login
company_careers,,,https://careers.samsung.com,No login
company_careers,,,https://siemens.jobs,No login
company_careers,,,https://careers.siemens-eda.com,No login
company_careers,,,https://careers.ansys.com,No login
company_careers,,,https://www.rambus.com/company/careers/,No login
company_careers,,,https://www.sifive.com/careers,No login
company_careers,,,https://www.esperanto.ai/careers/,No login
company_careers,,,https://tenstorrent.com/careers/,No login
company_careers,,,https://groq.com/careers/,No login
company_careers,,,https://www.cerebras.net/careers/,No login
company_careers,,,https://sambanova.ai/careers,No login
company_careers,,,https://www.d-matrix.ai/careers,No login
company_careers,,,https://www.untether.ai/careers/,No login
